"Leave this field empty if you wish to use the tax identifier.","Leave this field empty if you wish to use the vat identifier."
"Do you really want to delete this tax rate?","Do you really want to delete this vat rate?"
"Add New Class","Add New Class"
"Default Country","Default Country"
"Tax Calculation Based On","Vat Calculation Based On"
"Tax Classes","Vat Classes"
"Tax Class for Shipping","Vat Class for Shipping"
"Default Tax Class for Product","Default Vat Class for Product"
"Default Tax Class for Customer","Default Vat Class for Customer"
"Calculation Settings","Calculation Settings"
"Tax Calculation Method Based On","Vat Calculation Method Based On"
"Catalog Prices","Catalog Prices"
"This sets whether catalog prices entered by admin include tax.","This sets whether catalog prices entered by admin include vat."
"Shipping Prices","Shipping Prices"
"This sets whether shipping amounts entered by admin or obtained from gateways include tax.","This sets whether shipping amounts entered by admin or obtained from gateways include vat."
"Apply Customer Tax","Apply Customer Vat"
"Apply Discount On Prices","Apply Discount On Prices"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including vat is calculated based on store vat, if ""Apply Vat after Discount"" is selected."
"Apply Tax On","Apply Vat On"
"Enable Cross Border Trade","Enable Cross Border Trade"
"When catalog price includes tax, enable this setting will fix the price no matter what the customer's tax rate is.","When catalog price includes vat, enable this setting will fix the price no matter what the customer's vat rate is."
"Default Tax Destination Calculation","Default Vat Destination Calculation"
"Default State","Default State"
"Default Post Code","Default Post Code"
"Price Display Settings","Price Display Settings"
"Display Product Prices In Catalog","Display Product Prices In Catalog"
"Display Shipping Prices","Display Shipping Prices"
"Shopping Cart Display Settings","Shopping Cart Display Settings"
"Display Prices","Display Prices"
"Display Subtotal","Display Subtotal"
"Display Shipping Amount","Display Shipping Amount"
"Include Tax In Grand Total","Include Vat In Grand Total"
"Display Full Tax Summary","Display Full Vat Summary"
"Display Zero Tax Subtotal","Display Zero Vat Subtotal"
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
State/Region,State/Region
"Subtotal Only","Subtotal Only"
